portfolio_item,item_description_hidden,notes,include,featured,sort,image_name,permalink,data_communication,visual_explanation,information_dashboards,automated_reporting,environment,public_health,education,energy_transportation,measurement_and_evaluation,budget_and_finance,survey_data,risk_and_uncertainty
What Do Public Health Workers Think?,De Beaumont Foundation PH Wins data story,,1,1,1.0,PH-WINS_ExploreEngagement3_All_Crop.jpg,/PH_WINS_2017_Survey/,1,,,,,1,,,1,,1,1
Rapid Reporting to Help Colleges Drive Change,Sova,,1,1,1.0,Sova-Confidence-In-Leaders.jpg,/Sova_ClimateScan_Report/,1,,,1,,,1,,1,,1,
Faster Insights to Foster Student Success,NASPA,,1,1,1.0,NASPA-ITRS-Sample.png,/NASPA_ITRS/,1,,1,1,,,1,,1,,1,
Imagining Small-Scale Urban Manufacturing,Recast Your City illustrations,,1,1,1.0,Recast-Your-City-Illustrations-Tiles-2.png,/Recast_City_Illustrations/,,1,,,,,,,,,,
A Profile of Public Health Agencies,ASTHO,,1,0,1.4,ASTHO-Profile-Expenditures-All-Detail.png,/ASTHO_Profile_Survey/,,,1,,,1,,,,,1,
Association Member Benchmarking Dashboards,ASPPH Data Center Dashboard,,1,0,1.9,ASPPH.png,/ASPPH/,,,1,,,1,1,,,,,
Dashboards to Assess Agency Skill Gaps,Region v Public Health Training Center,,1,1,2.0,RVPHTC-TNA-2020-Menu-Cropped.png,/RVPHTC_TNA_2020/,,,1,,,1,1,,,,1,1
Arguing for Accurate Carbon Accounting,Verra 01 explanation of climate credit,,1,1,2.0,Verra-Scenario4-Buyer.png,/Verra_Carbon_Credit_Accounting/,,1,,,1,,,1,,,,
What Happens on a Field Day?,NRSA report figure,,0,0,2.0,,,,,,,,,,,,,,
Connecting Spending and Outcomes,Connecting Spending and Outcomes dashboard,,1,0,3.0,SpendingsDashboard.png,/correlating_spending_performance/,1,,1,,1,,,,1,1,,1
Faster Reporting for Conference Feedback Surveys,IBO,,1,1,4.0,Automatic-Workshop-Evaluation-Report-Tile.png,/Workshop_Evaluation_Report/,1,,,1,,,1,,1,,1,
Are Lakes in Good Condition? How EPA Decides.,Office of Water (OW) Explanatory graphic figure,,1,0,5.0,OW_ExplanatoryGraphic.png,,,1,,,1,,,,1,,1,1
Will Reducing River Pollution Help Aquatic Critters?,NRSA risk dashboard,Benthic invertebrates view,0,0,5.0,,,,,1,,1,,,,,,,
Helping Citizens Assess Their Lakes' Condition,EPA  Lake comparison tool,,0,0,6.7,,,,,1,,1,,,,1,,1,1
NRSA report pie charts,NRSA report pie charts,,0,0,8.0,,,,,,,,,,,,,,
Achieving the Dream's Peer Discovery Tool,Achieving the Dream “tree map” graphic,,1,0,8.6,ATD_TreeMap.png,/achieving_the_dream_tree_map/,,,1,,,,1,,,,1,
NLA 2012 Dashboard,NLA 2012 Dashboard,,1,0,12.0,NLA_Dashboard.png,/EPA_dashboard/,,,1,,1,1,,,1,,1,1
"Creating ""Infograms"" for Key Findings",EPA Focused infographic,,1,0,13.8,EPA_ShouldYourLake.png,/EPA_should_your_lake/,,1,,,,,,,1,,,
ECOS storytelling slides/presentation,ECOS storytelling slides/presentation,,1,0,20.5,ECOS_Presentation.png,,1,,,,1,,,,1,,,
Engaging the Community in School Capacity Planning,School dashboard (Dashboard for Community),Get elbow room title into the image,1,0,21.4,ElbowRoom.png,/elbow/,,,1,,,,1,,,,,
Explaining Climate Outcomes from Complex Economic Models,EPRI explanation of electricity model,,1,0,21.7,EPRI-ElecDemandNewRef.png,/EPRI_Explanation/,1,1,,,1,,1,1,,,,
Interactive Financial Reporting dashboard,Interactive Financial Reporting dashboard,,1,0,21.9,FinancialDashboard.png,,,,1,,,,,,,1,,
Combined Federal Campaign (CFC) Charity Search Tool dashboard,Combined Federal Campaign (CFC) Charity Search Tool dashboard,,1,0,24.7,CombinedFederalCampaign.png,/charitable_giving/,,,1,,,,,,,,,
University Market research horizonal bar graph,University Market research horizonal bar graph,,1,0,27.8,UniversityCommunitySurvey.png,/university_community_survey_results/,1,,,,,,1,,,,1,
Foundation Grants dashboard,Foundation Grants dashboard,,1,0,32.6,FoundationGrant.png,,,,1,,,,,,,,,
Health Data Success story,Health Data Success story,,1,0,34.9,HealthData.png,,1,,,,,1,,,,,,
Highlighting Healthier Water Supplies on the US-Mexico Border,EPA’s “The Long Road to Safer Water” infographic,,1,0,36.4,EPA_R6.png,/EPA_R6_Water_Infrastructure_Grant/,1,,,,1,1,,,1,,,
NLA 2012 Report,NLA 2012 Report,,1,0,41.7,ModernReport.png,/EPA_modern_report_design/,1,1,,,1,1,,,,,,
NCCA 2010 dashboard,NCCA 2010 dashboard,,1,0,60.5,,,,,1,,1,1,,,1,,1,1
Mary’s Scientific illustrations,Mary’s Scientific illustrations,,0,0,71.3,,,,1,,,1,,,,,,,
Notre-Dame Global Adaptation Index (ND-GAIN) Adaptive City Planning dashboard,Notre-Dame Global Adaptation Index (ND-GAIN) Adaptive City Planning dashboard,,1,0,78.4,ND_GAIN.png,/ND-GAIN_planning_resilience/,,,1,,1,,,,,,,1
eHealth Africa Ebola crisis map,eHealth Africa Ebola crisis map,,1,0,79.2,eHealthAfrica_Ebola.png,/ehealth_africa/,,,1,,,1,,,,,,
Reporting Measures of Student Success to Community Colleges,ATD Automated Reporting data reports,,1,0,80.0,ATD_AutomatedReport.png,/ATD_automated_reports/,1,,,1,,,1,,1,,,
“Reputation Matter” survey slope graph,“Reputation Matter” survey slope graph,,1,0,83.3,MarketingCampaign.png,/marketing_campaign_survey_results/,1,,,,,,1,,,,1,
Helping Infrastructure Managers Assess and Report Performance,VDOT informed decision-making dashboard,,1,0,86.8,VDOT.png,,1,,1,,,,,1,1,,,
Integrated Reporting System for Higher Education Surveys,"NASPA emphasizing the Qualtrics reporting solution, including presentation, report and dashboard",,0,1,94.8,,,1,,1,1,,,1,1,,,1,
A Re-Imagined Dashboard for Satisfaction Surveys,“Virginia is for … Drivers?” survey dashboard,,1,0,96.8,VirginiaDrivers.png,/Virginia_is_for_drivers/,,,1,,,,,1,1,,1,
Telling the Story of Cleaning Up the Great Lakes,EPA’s Storytelling infographic(Great Lakes),,1,0,98.7,EPA_StoryTelling.png,,1,,,,1,,,,1,,,
